guaName,code,lowerCode,upperCode
乾,999999,999,999
坤,666666,666,666
屯,966696,966,696
蒙,696669,696,669
需,999696,999,696
讼,696999,696,999
师,696666,696,666
比,666696,666,696
小畜,999699,999,699
履,996999,996,999
泰,999666,999,666
否,666999,666,999
同人,969999,969,999
大有,999969,999,969
谦,669666,669,666
豫,666966,666,966
随,966996,966,996
蛊,699669,699,669
临,996666,996,666
观,666699,666,699
噬嗑,966969,966,969
贲,969669,969,669
剥,666669,666,669
复,966666,966,666
无妄,966999,966,999
大畜,999669,999,669
颐,966669,966,669
大过,699996,699,996
坎,696696,696,696
离,969969,969,969
咸,669996,669,996
恒,699966,699,966
遁,669999,669,999
大壮,999966,999,966
晋,666969,666,969
明夷,969666,969,666
家人,969699,969,699
睽,996969,996,969
蹇,669696,669,696
解,696966,696,966
损,996669,996,669
益,966699,966,699
夬,999996,999,996
姤,699999,699,999
萃,666996,666,996
升,699666,699,666
困,696996,696,996
井,699696,699,696
革,969996,969,996
鼎,699969,699,969
震,966966,966,966
艮,669669,669,669
渐,669699,669,699
归妹,996966,996,966
丰,969966,969,966
旅,669969,669,969
巽,699699,699,699
兑,996996,996,996
涣,696699,696,699
节,996696,996,696
中孚,996699,996,699
小过,669966,669,966
既济,969696,969,696
未济,696969,696,969
