currentGua,yaoIndex,gender,yaoName,sentence,annotation,futureGua
乾,0,0,卦辞,元亨。利贞。,彖象,乾
乾,1,9,初九,潜龙勿用。,彖象,姤
乾,2,9,九二,见龙在田，利见大人。,彖象,同人
乾,3,9,九三,君子终日乾乾，夕惕若，厉，无咎。,彖象,履
乾,4,9,九四,或跃，在渊，无咎。,彖象,小畜
乾,5,9,九五,飞龙在天，利见大人。,彖象,大有
乾,6,9,上九,亢龙有悔。,彖象,夬
坤,0,0,卦辞,元亨。利牝马之贞。,彖象,坤
坤,1,6,初六,履霜，坚冰至。,彖象,复
坤,2,6,六二,直方，不习，无不利。,彖象,师
坤,3,6,六三,含章可贞，或从王事，无成有终。,彖象,谦
坤,4,6,六四,括囊，无咎，无誉。,彖象,豫
坤,5,6,六五,黄裳，元吉。,彖象,比
坤,6,6,上六,龙战于野，其血玄黄,彖象,剥
屯,0,0,卦辞,元亨，利贞；勿用有攸往，利建,彖象,屯
屯,1,9,初九,盘桓，利居贞，利建,彖象,比
屯,2,6,六二,屯如，遣如。,彖象,节
屯,3,6,六三,即鹿无虞，惟入于林,彖象,既济
屯,4,6,六四,乘马班如，求婚媾；,彖象,随
屯,5,9,九五,屯其膏。小，贞吉；,彖象,复
屯,6,6,上六,乘马班如，泣血涟如,彖象,益
蒙,0,0,卦辞,亨。匪我求童蒙，童蒙求我。,彖象,蒙
蒙,1,6,初六,发蒙，利用刑人，用说桎梏，以往吝。,彖象,损
蒙,2,9,九二,包蒙，吉。纳妇，吉。子克家。,彖象,剥
蒙,3,6,六三,勿用取女，见金夫，不有躬。无攸利。,彖象,蛊
蒙,4,6,六四,困蒙，吝。,彖象,未济
蒙,5,6,六五,童蒙，吉。,彖象,涣
蒙,6,9,上九,击蒙，不利为寇，利御寇。,彖象,师
需,0,0,卦辞,有孚，光亨，贞吉。利涉大川。,彖象,需
需,1,9,初九,需于郊。利用恒，无,彖象,井
需,2,9,九二,需于沙，小有言，终,彖象,既济
需,3,9,九三,需于泥，致宼至。,彖象,节
需,4,6,六四,需于血，出自穴。,彖象,夬
需,5,9,九五,需于酒食，贞吉。,彖象,泰
需,6,6,上六,入于穴，有不速之客,彖象,小畜
讼,0,0,卦辞,有孚窒，惕，中吉;终凶。,彖象,讼
讼,1,6,初六,不永所事，小有言，,彖象,履
讼,2,9,九二,不克讼，归而逋，其,彖象,否
讼,3,6,六三,食旧德，贞厉，终吉,彖象,姤
讼,4,9,九四,不克讼，复即命;渝，,彖象,涣
讼,5,9,九五,讼，元吉。,彖象,未济
讼,6,9,上九,或锡之鞶带，终朝三,彖象,困
师,0,0,卦辞,贞。丈人吉，无咎。,彖象,师
师,1,6,初六,师出以律，否臧凶。,彖象,临
师,2,9,九二,在师，中吉，无咎;王,彖象,坤
师,3,6,六三,师或舆尸，凶。,彖象,升
师,4,6,六四,师左次，无咎。,彖象,解
师,5,6,六五,田有禽，利执言，无,彖象,坎
师,6,6,上六,大君有命，开国承家,彖象,蒙
比,0,0,卦辞,吉。原筮，元永贞，无咎,彖象,比
比,1,6,初六,有孚比之，无咎,彖象,屯
比,2,6,六二,比之自内，贞吉。,彖象,坎
比,3,6,六三,比之匪人。,彖象,蹇
比,4,6,六四,外比之，贞吉。,彖象,萃
比,5,9,九五,显比;王用三驱，失前,彖象,坤
比,6,6,上六,比之无首，凶。,彖象,观
小畜,0,0,卦辞,亨。密云不雨，自我西郊。,彖象,小畜
小畜,1,9,初九,复自道，何其咎，,彖象,巽
小畜,2,9,九二,牵复，吉。,彖象,家人
小畜,3,9,九三,舆说辐，夫妻反目,彖象,中孚
小畜,4,6,六四,有孚，血去惕出，,彖象,乾
小畜,5,9,九五,有孚挛如，富以其,彖象,大畜
小畜,6,9,上九,既雨既处，尚德载,彖象,需
履,0,0,卦辞,履虎尾，不哇人，亨。,彖象,履
履,1,9,初九,素履，往，无咎。,彖象,讼
履,2,9,九二,履道坦坦，幽人贞吉,彖象,无妄
履,3,6,六三,眇能视，跛能履。,彖象,乾
履,4,9,九四,履虎尾，恝恝，终吉,彖象,中孚
履,5,9,九五,夬履，贞厉。,彖象,睽
履,6,9,上九,视履考祥，其旋元吉,彖象,兑
泰,0,0,卦辞,小往大来，吉，亨。,彖象,泰
